Date,Time,Loc,"Left Leg
10/10/2021,,SC,purple/alum,RFID grey,recap,150-79080,,17.4,27.5,65,,,BCCH,,
10/10/2021,,SC,grey/alum,RFID yellow,recap,150-79081,,16,26.6,64,,,BCCH,,
10/12/2021,,PS,RFID green,yellow alum,01103FB3D8,150-79156,,16.1,27.1,67,12.29,,BCCH,,
10/12/2021,,BL?,white/alum,RFID red,01103F8F3E,1570-79142,,15.7,27.7,63,10.88,,BCCH,,
10/21/2021,,HP,RFID green ,blue/alum,01103F91AA,1570-79157,,17.3,27.1,65,11.39,,BCCH,,
10/23/2021,8:30 AM,SC,RFID purple,orange/alum,01103FE2AB,1570-79158,,16.7,27.4,60,,,BCCH,,
10/28/2021,8:45 AM,R9,RFID white,yellow/alum,01103F50F9,1570-79159,,16.1,26.2,68,11.1,,BCCH,,
10/31/2021,8:30 AM,S?,black/alum,RFID red,,1570-79013,,16.8,26.9,69,,,BCCH,,
10/31/2021,,,grey/alum,RFID grey,,1570-79020,,,26.9,69,,,BCCH,,
10/31/2021,8:50 AM,SC,RFID white,red/alum,01103FB533,1570-79160,,17,27.2,65,,,BCCH,,
10/31/2021,8:30 AM,SC,RFID blue,silver/alum,,,,16,27.9,68,,,BCCH,,
11/2/2021,,PP,RFID yellow,blue/alum,01103FA64E,1570-79161,,15.8,27,63,10.67,,BCCH,,
11/6/2021,,R9,RFID yellow,black/alum,01103FCF81,1570-79162,,15.4,26.2,62,,,BCCH,,
11/6/2021,,BW,yellow/alum,RFID greem,01103F92B4,1570-79163,,16.6,27.8,67,11.97,,BCCH,,
11/6/2021,,BW,white/alum,RFID white,01103FDF2C,1570-79164,,15.8,27.5,68,12.37,,BCCH,,
11/9/2021,,R9,grey/alum,RFID white,recap ,1570-79087,,16.6,27.2,66,10.59,,BCCH,,
11/9/2021,,BW,RFID green ,alum/green ,recap ,1570-79088,,16,27.3,65,11.49,,BCCH,,
11/9/2021,,BW,green/alum,RFID white,recap ,1570-79088,,16.5,27.4,68,11.09,,BCCH,,
11/9/2021,,PS,green/alum,RFID blue,recap ,1570-79153,,15.7,26.6,65,10.48,,BCCH,,
11/9/2021,,R9,RFID white,yellow/alum,recap ,1570-79159,,16.5,26.7,69,11.25,,BCCH,,
11/9/2021,,R9,black/alum,RFID yellow,recap ,1570-79162,,15.5,26.8,63,10.43,,BCCH,,
11/16/2021,,SC,RFID white,blue/alum,01103FA927,165,,16.5,28.3,63,,,BCCH,,
11/16/2021,,SC,RFID blue,white/alum,011016CA31,166,,15.7,25.5,,,,BCCH,,
11/16/2021,,SC,,,recap ,160-86.013,,,,,,,BCCH,,
11/18/2021,,SC,RFID red,red/alum,,1570-79069,,16.8,27.5,63,11.32,,BCCH,,
11/18/2021,,SC,yellow,blue/alum,,1570-79767,,14.98,25.7,64,10.8,,BCCH,,
11/21/2021,,BW,RFID black ,yellow/alum,011016DCBF,1570-79167,,14.1,26.3,66,10.36,,BCCH,,
12/5/2021,,BW,RFID blue ,black,01103F645E,1570-79168,,17.4,26.2,66,11.48,,BCCH,,
1/7/2020,,BT,Green/Alum,RFID Green,01103F5491,1570-79047,,17.2,27.1,67,11.5,,BCCH,,
1/15/2020,,SC,Red/Alum,RFID Purple,01103F8D5D,1570-79048,,17.1,26.1,66,10.5,,BCCH,,
1/22/2020,,TH,white/alum,RFID Purple,011016D91A,1570-79049,,15.9,26.4,67,11.4,,BCCH,,
9/9/2020,10:00,SC,black/alum,RFID white,recap,1570-79011,,16.2,27.2,67,,,BCCH,,
9/9/2020,9:00,SC,red/alum,RFID green,recap,1570-79016,,17.3,26.7,65,12.23,,BCCH,,
9/9/2020,10:00,SC,RFID red,lightgreen/alum,011016B7B7,1570-79050,,17.2,27.4,68,9.92,,BCCH,,
9/12/2020,,SC,red/alum,RFID green,recap,1570-79016,,,,,11.39,,BCCH,,
9/12/2020,9:00,TH,green/alum,RFID grey,0110172F1B,1570-79051,,17.5,26.3,60,12.05,,BCCH,,
9/12/2020,9:00,TH,RFID white,white/alum,011016FAB2,1570-79052,,16,26.8,64,10.55,,BCCH,,
9/12/2020,10:00,TH,blue/alum,RFID grey,01101740CA,1570-79053,,16.7,26.3,66,9.45,,BCCH,,
9/12/2020,10:00,TH,white/alum,RFID grey,0110172CF4,1570-79054,,16.1,27.3,68,11.71,,BCCH,,
9/15/2020,10:12,BT ,blue/alum,RFID yellow,recap,1570-79032,,16.5,26.5,62,12.42,,BCCH,,
9/19/2020,9:15,BW,yellow/alum,RFID Black,011016C46A,1570-79055,,16.1,25.7,64,12.02,,BCCH,,
9/19/2020,9:15,BW,RFID green,black/alum,01103F62FE,1570-79056,,15.8,26.9,63,11.37,,BCCH,,
9/19/2020,9:15,BW,black/alum,RFID yellow,01103F839B,1570-79057,,17.9,27.8,69,10.24,,BCCH,,
9/19/2020,9:30,BW,RFID black,red/alum,01103F5AA4,1570-79058,,17.1,27.8,68,9.95,,BCCH,,
9/19/2020,9:30,BW,RFID yellow,yellow/alum,011016BBED,1570-79059,,17,27,67,flew away,,BCCH,,
9/19/2020,9:30,BW,RFID grey,green/alum,01101737FF,1570-79060,,16.7,27,67,10.56,,BCCH,,
9/19/2020,9:30,BW,yellow/alum,RFID grey,01101720D7,1570-79061,,15.7,27.1,64,11,,BCCH,,
9/19/2020,9:30,BW,RFID yellow,purple/alum,011016DCC0,1570-79062,,16.6,27.3,65,11.12,,BCCH,,
9/19/2020,9:30,BW,RFID red,grey/alum,011016B71B,1570-79063,,15.7,27.5,63,11.6,,BCCH,,
9/19/2020,9:30,BW,RFID purple,white/alum,01103F7357,1570-79064,,16,26.5,63,12.03,,BCCH,,
9/19/2020,9:45,BW,RFID red,yellow/alum,011016F21E,1570-79065,,17,27.8,68,flew away,,BCCH,,
9/19/2020,10:45,HP,RFID yellow,green/alum,01103F797D,1570-79066,,16.6,28.3,68,10.93,,BCCH,,
9/21/2020,10:00,PP,RFID blue,blue/alum,01103F8C62,1570-79067,,17,26.6,65,10.8,,BCCH,,
9/21/2020,10:00,PP,Red/Alum,RFID yellow,011016CD06,1570-79068,,16.3,27.2,65,10.08,,BCCH,,
9/21/2020,10:40,PP,RFID red,red/alum,011016CFD5,1570-79069,,16,26.2,62,11.57,,BCCH,,
9/21/2020,10:40,PP,grey/alum,RFID black,011016DEC9,1570-79070,,17,26.2,62,,,BCCH,,
9/21/2020,10:40,PP,RFID purple,grey/alum,011016D56E,1570-79071,,16.3,26.1,63,10.75,,BCCH,,
9/22/2020,9:00,TH,RFID purple,black/alum,recap,1570-79038,,17,27.2,66,,,BCCH,,
9/22/2020,10:00,TH,RFID grey,blue/alum,recap,1570-79053,,,,,,,BCCH,,
9/22/2020,10:15,TH,RFID red,blue/alum,011016CD0A,1570-79072,,16.9,26.9,65,,,BCCH,,
9/23/2020,9:40,SC,RFID red,lightgreen/alum,recap,1570-79050,,,,,flew away,,BCCH,,
9/23/2020,8:30,PP,RFID red,red/alum,recap,1570-79069,,,,,11.94,,BCCH,,
9/23/2020,10:00,PP,grey/alum,RFID black,recap,1570-79070,,,,,11.23,,BCCH,,
9/23/2020,9:20,PP,yellow/alum,RFID blue,011016D389,1570-79073,,15.3,25.7,62,11.3,,BCCH,,
9/23/2020,10:00,PP,RFID Yellow,lightgreen/alum,011016C4F2,1570-79074,,14.5,26.7,68,11.4,,BCCH,,
9/23/2020,10:30,HP,RFID blue,grey/alum,01103F48F6,1570-79075,,17.4,27.9,69,12.35,,BCCH,,
9/23/2020,11:30,PP,RFID white,lightgreen/alum,0110174D10,1570-79076,,15.6,25.6,68,11.18,,BCCH,,
9/25/2020,10:30,PP,RFID grey,grey/alum,recap,1570-79020,,16.7,26.1,70,,,BCCH,,
9/25/2020,11:00,PP,RFID blue,grey/alum,01103F8569,1570-79077,,16.1,27.6,66,11.4,,BCCH,,
9/25/2020,11:00,PP,RFID green,grey/alum,011016B7D1,1570-79078,,16,26.4,65,11.65,,BCCH,,
9/26/2020,11:30,BW,RFID purple,white/alum,recap,1570-79064,,,,,10.89,,BCCH,,
9/26/2020,9:15,BW/HP/SC,RFID white,purple/alum,011016FAB1,1570-79079,,16.2,27.1,65,10.45,,BCCH,,
9/26/2020,,BW/HP/SC,purple/alum,RFID grey,0110172081,1570-79080,,17.5,27.2,65,10.75,,BCCH,,
9/26/2020,,SC,grey/alum,RFID yellow,01103F5C16,1570-79081,,17.3,26.8,64,10.82,,BCCH,,
9/26/2020,,HP,grey/alum,RFID purple,011016D14A,1570-79082,,15.8,27.1,65,9.55,,BCCH,,
9/26/2020,,SC,purple/alum,RFID yellow,011016DD76,1570-79083,,15.5,27,64,10.44,,BCCH,,
9/26/2020,,HP,RFID black,purple/alum,011016C44D,1570-79084,,17.3,27.3,64,10.32,,BCCH,,
9/26/2020,11:30,HP,blue/alum,RFID purple,011016C519,1570-79085,,15.9,26.8,62,11.61,,BCCH,,
9/29/2020,9:15,PP,white/alum,RFID green,01103F4637,1570-79086,,16,26,63,12.07,,BCCH,,
10/1/2020,10:19,BW,grey/alum,RFID white,011016FAB3,1570-79087,,15.9,26.5,64,10.91,,BCCH,,
10/1/2020,10:32,HP,RFID green,green/alum,01103F3A15,1570-79088,,16.7,26,63,,,BCCH,,
10/1/2020,10:30,BW,RFID white,blue/alum,011016FDFE,1570-79089,,17.1,27.7,68,10.89,,BCCH,,
10/1/2020,11:00,BW,green/alum,RFID white,0110171B69,1570-79090,,16.1,26.8,67,,,BCCH,,
10/2/2020,4:30,MB,red/alum,RFID white,recap,1570-79010,,16.8,28.2,69,,,BCCH,,
10/3/2020,11:00,MS,green/alum,RFID green,recap,1570-79047,,16.7,27.4,65,,,BCCH,,
10/3/2020,10:45,,grey/alum,RFID red,recap,1570-79063,,,,,,,BCCH,,
10/3/2020,9:30,BL,purple/alum,RFID grey,recap,1570-79080,,,,,11.92,,BCCH,,
10/3/2020,10:00,,grey/alum,RFID yellow,recap,1570-79081,,,,,10.07,,BCCH,,
10/3/2020,,,RFID white,blue/alum,recap,1570-79089,,,,,11.67,,BCCH,,
10/3/2020,9:30,,purple/alum,RFID purple,01103F8FC6,1570-79091,,17.4,28,67,10.88,,BCCH,,
10/3/2020,9:30,,white/alum,RFID black,011016F189,1570-79092,,16.6,25.7,65,10.27,,BCCH,,
10/3/2020,11:00,MS,grey/alum,RFID green,01103F8391,1570-79093,,16.5,26.8,66,10.93,,BCCH,,
10/3/2020,11:20,BL,RFID black,green/alum,011016E37F,1570-79094,,15.8,26.6,65,,,BCCH,,
10/6/2020,8:30,BT,RFID blue,green/alum,recap,1570-79028,,15.9,27.1,68,11.66,,BCCH,,
10/6/2020,8:30,MB,RFID red,black/alum,recap,1570-79036,,16.5,27.4,,11.18,,BCCH,,
10/6/2020,8:30,MB,RFID red,blue/alum,recap,1570-79072,,,,,11.53,,BCCH,,
10/6/2020,8:30,BT,RFID purple,blue/alum,011016CF12,1570-79095,,17,27,67,10.96,,BCCH,,
10/6/2020,8:30,"says BL but BL wasnt open that day, either has to be BT or MB, i think its MB",red/alum,RFID blue,01103F8C19,1570-79096,,15.9,25.5,63,11.26,,BCCH,,
10/6/2020,8:30,MB,RFID yellow,red/alum,01103F807A,1570-79097,,17,26.5,61,11.98,,BCCH,,
10/6/2020,8:30,MB,RFID red,white/alum,011016E433,1570-79098,,16.6,27,67,11.9,,BCCH,,
10/6/2020,8:30,MB,grey/alum,RFID blue,01103F8EBF,1570-79099,,17.4,27.5,67,10.71,,BCCH,,
10/6/2020,8:30,MB,RFID white,grey/alum,011016FD15,1570-79100,,15.6,27.6,65,9.25,,BCCH,,
10/6/2020,8:30,MB,grey/alum,RFID red,011016CE6A,1570-79101,,17.1,27.2,67,11.05,,BCCH,,
10/6/2020,9:00,TH,RFID black,grey/alum,011016E3B4,1570-79102,,16.3,26,64,11.18,,BCCH,,
10/6/2020,9:00,TH,RFID grey,orange/alum,01101704FS,1570-79103,,16.8,26.2,64,10.54,,BCCH,,
10/6/2020,9:00,TH,RFID red,orange/alum,01103F7B7E,1570-79104,,16.2,27.1,65,9.6,,BCCH,,
10/6/2020,9:00,TH,RFID green,orange/alum,011016C501,1570-79105,,15.2,26,64,9.46,,BCCH,,
10/6/2020,9:00,TH,RFID blue,orange/alum,011016E3A7,1570-79106,,15.9,26,63,11.31,,BCCH,,
10/6/2020,9:00,TH,RFID black,orange/alum,011016BCA0,1570-79107,,15.9,26,62,10.88,,BCCH,,
10/6/2020,,TH,RFID red,lightblue/alum,011016C173,1570-79108,,15.6,26.3,62,,,BCCH,,
10/6/2020,,TH,RFID grey,lightblue/alum,011016C173,1570-79109,,16.2,27.1,68,,,BCCH,,
10/6/2020,,TH,RFID green,lightgreen/alum,01103F933D,1570-79110,,15.7,27.7,66,,,BCCH,,
10/6/2020,,TH,RFID black,lightgreen/alum,01103F7474,1570-79111,,bird was not looking great so measurements were skipped,,,11.86,,BCCH,,
10/7/2020,10:00,HP,RFID blue,grey/alum,recap,1570-79075,,,,,10.81,,BCCH,,
10/7/2020,11:00,BW,grey/alum,RFID white,recap,1570-79087,,,,,,,BCCH,,
10/7/2020,10:00,BL,RFID black,lightblue/alum,01103F3DAA,1570-79112,,16.7,26.7,70,10.59,,BCCH,,
10/7/2020,11:30,BL,RFID black,white/alum,011016DD4F,1570-79113,,15.5,27.1,66,,,BCCH,,
10/7/2020,11:30,BL,RFID purple,lightgreen/alum,01103FDDA8,1570-79114,,16.1,26.6,flew away,,,BCCH,,
10/10/2020,9:50,TH,white/alum,RFID blue,recap,1570-79039,,15,27.1,61,,,BCCH,,
10/10/2020,,TH,RFID white,orange/alum,recap,1570-79052,,previous band was on wrong leg so given new orange color band,,,,,BCCH,,
10/10/2020,10:50,TH,blue/alum,RFID grey,recap,1570-79053,,,,,11.12,,BCCH,,
10/10/2020,9:50,MB,RFID red,blue/alum,recap,1570-79072,,,,,11.12,,BCCH,,
10/10/2020,,MB,RFID yellow,red/alum,recap,1570-79097,,see inital capture,,,,,BCCH,,
10/11/2020,8:30,SC,RFID yellow,orange/alum,01103FBDCE,1570-79115,,16.9,28,61,,,BCCH,,
10/11/2020,8:30,SC,RFID yellow,orange/alum,01103FBDCE,1570-79115,,16.9,28,61,,,BCCH,,
10/14/2020,10:15,BW,yellow/alum,RFID black,recap,1570-79055,,,,,,,BCCH,,
10/14/2020,10:00,BW,black/alum,RFID yellow,recap,1570-79057,,,,,,,BCCH,,
10/14/2020,8:45,BW,RFID black,red/alum,recap,1570-79058,,,,,,,BCCH,,
10/14/2020,9:50,BW,RFID yellow,yellow/alum,recap,1570-79059,,,,,12.28,,BCCH,,
10/14/2020,9:50,BW,RFID red,grey/alum,recap,1570-79063,,,,,,,BCCH,,
10/14/2020,9:08,BW,RFID blue,lightgreen/alum,recap,1570-79075,,,,,,,BCCH,,
10/14/2020,10:15,BW,RFID white,lightblue/alum,01103F77AC,1570-79116,,16.3,27,65,,,BCCH,,
10/15/2020,9:30,SC,black/alum,RFID white,recap,1570-79011,,,,,,,BCCH,,
10/15/2020,12:15,SC,RFID blue,grey/alum,recap,1570-79077,,,,,,,BCCH,,
10/20/2020,10:20,HP,RFID red,grey/alum,recap,1570-79063,,,,,12,,BCCH,,
10/20/2020,11:20,HP,RFID red,yellow/alum,recap,1570-79065,,,,,10.54,,BCCH,,
10/20/2020,8:45,HP,lightgreen/alum,RFID blue,recap,1570-79075,,,,,,,BCCH,,
10/20/2020,10:30,BL,RFID yellow,lightblue/alum,01103F56AF,1570-79117,,16,27.9,69,10.64,,BCCH,,
10/20/2020,10:50,HP,RFID green,lightblue/alum,01103FAD55,1570-79118,,16,26.5,66,10.8,,BCCH,,
10/21/2020,11:31,MS,RFID yellow,grey/alum,recap,1570-79081,,,,,,,BCCH,,
10/21/2020,9:45,MS,RFID purple,lightblue/alum,01103F92D4,1570-79119,,16.3,26.5,64,,,BCCH,,
10/21/2020,10:00,MS,RFID grey,lightblue/alum,011016D07B,1570-79120,,16.5,27.1,66,11.95,,BCCH,,
10/24/2020,10:15,MS,RFID red,lightgreen/alum,recap,1570-79050,,,,,10.33,,BCCH,,
10/24/2020,9:30,MS,RFID yellow,orange/alum,recap,1570-79115,,,,,10.28,,BCCH,,
10/24/2020,9:30,MS,orange/alum,RFID white,01103F594A,1570-79121,,16.6,27.3,67,,,BCCH,,
10/24/2020,9:30,MS,orange/alum,RFID black,011016B675,1570-79122,,16,26.6,63,,,BCCH,,
10/24/2020,9:30,MS,orange/alum,RFID purple,01103FB345,1570-79123,,15.5,26.1,69,,,BCCH,,
10/27/2020,10:30,TH,black/alum,RFID purple,recap,1570-79038,,,,,,,BCCH,,
10/27/2020,9:15,MB,RFID blue,yellow/alum,recap,1570-79044,,16.9,28,68,,,BCCH,,
10/27/2020,8:40,TH,green/alum,RFID grey,recap,1570-79051,,,,,,,BCCH,,
10/27/2020,8:30,TH,blue/alum,RFID grey,recap,1570-79053,,,,,,,BCCH,,
10/27/2020,8:15,TH,blue/alum,RFID red,recap,1570-79072,,,,,12.88,,BCCH,,
10/27/2020,9:00,MB,orange/alum,RFID red,01103F8918,1570-79124,,17.2,26.9,68,,,BCCH,,
10/28/2020,,PP,RFID green,purple/alum,recap,1570-79017,,,,67,,,BCCH,,
10/28/2020,2:45,PP,RFID black,blue/alum,recap,1570-79018,,16.9,27.3,67,,,BCCH,,
10/28/2020,3:20,PP,RFID grey,grey/alum,recap,1570-79020,,,,,10.87,,BCCH,,
10/28/2020,,PP,RFID red,red/alum,recap,1570-79069,,,,,,,BCCH,,
10/28/2020,,PP,RFID yellow,orange/alum,recap,1570-79115,,,,,,,BCCH,,
10/28/2020,4:00,PP,orange/alum,RFID blue,01103F8B05,1570-79125,,16.8,26.7,62,,,BCCH,,
11/1/2020,9:30,SC,black/alum,RFID white,recap,1570-79011,,,,,,,BCCH,,
11/1/2020,9:30,SC,RFID red,lightgreen/alum,recap,1570-79050,,,,,,,BCCH,,
11/1/2020,10:13,SC,RFID blue,grey/alum,recap,1570-79077,,,,,,,BCCH,,
11/1/2020,10:45,SC,purple/alum,RFID grey,recap,1570-79080,,,,,,,BCCH,,
11/1/2020,10:40,SC,RFID yellow,orange/alum,recap,1570-79115,,,,,,,BCCH,,
11/1/2020,11:15,MS,RFID grey,lightblue/alum,recap,1570-79120,,,,,10.65,,BCCH,,
11/1/2020,11:15,MS,orange/alum,RFID white,recap,1570-79121,,,,,10.95,,BCCH,,
11/1/2020,11:15,MS,orange/alum,RFID black,recap,1570-79122,,,,,,,BCCH,,
11/1/2020,9:30,SC,orange/alum,RFID green,01103FBBB2,1570-79126,,16.2,26.7,65,,,BCCH,,
11/1/2020,11:00,SC,orange/alum,RFID grey,01103F8F1E,1570-79127,,17.3,27.4,65,,,BCCH,,
11/4/2020,11:18,MB,grey/alum,RFID red,recap,1570-79101,,,,,11.1,,BCCH,,
11/6/2020,11:30,BT,black/alum,RFID red,recap,1570-79013,,16.4,26.5,68,,,BCCH,,
11/6/2020,11:30,BT,blue/alum,RFID yellow,recap,1570-79032,,,,,11.55,,BCCH,,
11/6/2020,8:30,BT,white/alum,RFID grey,recap,1570-79033,,16.8,27.6,67,11.42,,BCCH,,
11/6/2020,10:30,BT,purple/alum,RFID grey,recap,1570-79080,,,,,10.49,,BCCH,,
11/6/2020,8:30,BT,lightgreen/alum,RFID white,01103F54A0,1570-79128,,16.7,27,65,,,BCCH,,
11/7/2020,10:06,BT,green/alum,RFID black,recap,1570-79027,,16.1,28.3,63,,,BCCH,,
11/7/2020,9:30,BT,RFID blue,green/alum,recap,1570-79028,,16.4,26.5,68,,,BCCH,,
11/7/2020,9:36,MB,RFID blue,yellow/alum,recap,1570-79044,,,,,,,BCCH,,
11/7/2020,8:45,BT,RFID blue ,grey/alum,recap,1570-79077,,,,,,,BCCH,,
11/7/2020,8:30,BT,purple/alum,RFID grey ,recap,1570-79080,,,,,10.06,,BCCH,,
11/7/2020,10:23,BT,RFID purple,blue/alum,recap,1570-79095,,,,,,,BCCH,,
11/7/2020,8:30,MB,lightblue/alum,RFID blue,01103F8613,1570-79129,,16.9,26.8,65,,,BCCH,,
11/7/2020,9:36,MB,lightgreen/alum,RFID black,01103F65C4,1570-79130,,15.3,26.6,65,,,BCCH,,
11/10/2020,10:45,TH,RFID blue,yellow/alum,recap,1570-79044,,,,,9.73,,BCCH,,
11/10/2020,,TH,green/alum,RFID grey ,recap,1570-79051,,,,,,,BCCH,,
11/10/2020,,MB,grey/alum,RFID red,recap,1570-79101,,,,,,,BCCH,,
11/10/2020,10:45,MB,lightgreen/alum,RFID purple,01103FA3C3,1570-79131,,15.7,25.9,60,,,BCCH,,
11/14/2020,8:15,TH,black/alum,RFID purple ,recap,1570-79038,,,,,,,BCCH,,
2/3/2019,,SC,RFID Grey,Yellow/Alum,0110170484,1570-79001,,16.1,28,67,12.49,,BCCH,,
2/6/2019,,SC,RFID Green,Red/Alum,011016E2E9,1570-79003,,15.2,26.9,65,10.36,,BCCH,,
2/6/2019,,SC,Purple/Alum,RFID Blue,011016CDB2,1570-79006,,17.2,26.6,65,10.78,,BCCH,,
2/6/2019,,SC,RFID Red,Green/Alum,01103F85DC,1570-79002,,17.4,27.4,66,12.61,,BCCH,,
2/6/2019,,SC,RFID Black,Black/Alum,011016B89A,1570-79004,,16.1,17,67,11.46,,BCCH,,
2/6/2019,,SC,Yellow/Alum,RFID Yellow,011016C0CF,1570-79005,,16.1,26.1,67,10.78,,BCCH,,
2/6/2019,,SC,Yellow/Alum,RFID White,011016FB36,1570-79008,,16.3,26.5,67,11.88,,BCCH,,
2/6/2019,,SC,Yellow/Alum,RFID Red,011016FB36,1570-79007,,17.6,26.6,68,11.5,,BCCH,,
9/20/2019,,SC,Red/Alum,RFID Grey,01101727F7,1570-79009,,17,27.1,70,11.31,,BCCH,,
9/26/2019,,SC,RFID Purple,Purple/Alum,011016EB42,1570-79014,,16.2,26.6,66,10.49,,BCCH,,
9/26/2019,,SC,Black/Alum,RFID White,0110174F60,1570-79011,,18.5,27.6,67,11.47,,BCCH,,
9/26/2019,,SC,RFID Purple,Green/Alum,01103F3943,1570-79012,,16.2,26.9,68,10.52,,BCCH,,
9/26/2019,,SC,Black/Alum,RFID Red,01103F6E0B,1570-79013,,18.8,27.4,70,11.81,,BCCH,,
9/26/2019,,SC,RFID Blue,Red/Alum,011016C7E9,1570-79015,,19,28.4,70,12.13,,BCCH,,
9/26/2019,,SC,Red/Alum,RFID White,0110174C58,1570-79010,,17.6,27.9,71,12.17,,BCCH,,
10/9/2019,,SC,Red/Alum,RFID Green,011016D42B,1570-79016,,18.4,26.8,65,11.2,,BCCH,,
10/9/2019,,SC,Blue/Alum,RFID Black,011016D934,1570-79019,,17.6,26.9,66,11.4,,BCCH,,
10/9/2019,,SC,RFID Green,Purple/Alum,01103F65A9,1570-79017,,17.6,26.9,69,11.1,,BCCH,,
10/9/2019,,SC,RFID Black,Blue/Alum,011016B849,1570-79018,,17,27.4,71,12.3,,BCCH,,
10/9/2019,,SC,Black/Alum,RFID Grey,0110174BD5,1570-79020,,17.8,26.9,71,11.7,,BCCH,,
10/9/2019,,SC,Blue/Alum,RFID Green,01103F3A74,1570-79021,,18.2,27.4,72,11.6,,BCCH,,
10/16/2019,,SC,RFID Purple,Yellow/Alum,01103F6689,1570-79022,,17,26.1,67,10.4,,BCCH,,
10/24/2019,,SC,Green/Alum,RFID Red,01103F6953,1570-79024,,16.9,25.4,63,10.2,,BCCH,,
10/24/2019,,SC,Yellow/Alum,RFID Purple,011016BF45,1570-79031,,18.2,27.2,65,10.9,,BCCH,,
10/24/2019,,SC,Blue/Alum,RFID Yellow,01103F4E6C,1570-79032,,16.9,26.5,65,10.2,,BCCH,,
10/24/2019,,BT,Green/Alum,RFID Black,0110173752,1570-79027,,18.4,26.9,66,11.4,,BCCH,,
10/24/2019,,BT,RFID Grey,White/Alum,0110174BD6,1570-79033,,16.9,26.9,67,11,,BCCH,,
10/24/2019,,SC,RFID White,White/Alum,0110174E88,1570-79025,,16.8,27.9,68,11.4,,BCCH,,
10/24/2019,,BT,RFID Grey,Red/Alum,01101734C4,1570-79030,,16.8,25.5,68,11.1,,BCCH,,
10/24/2019,,SC,RFID Grey,Blue/Alum,0110171943,1570-79023,,16.2,27.5,69,11.5,,BCCH,,
10/24/2019,,SC,Black/Alum,RFID Green,01103F78BD,1570-79026,,18.1,26.8,69,11.7,,BCCH,,
10/24/2019,,BT,RFID Blue,Green/Alum,011016E24E,1570-79028,,17.7,26.4,69,10.6,,BCCH,,
10/24/2019,,BT,RFID Grey,Black/Alum,0110170642,1570-79029,,18.4,26.7,71,11.3,,BCCH,,
11/6/2019,,SC,Red/Alum,RFID Red,01103F64FE,1570-79034,,19.8,26.1,67,10.1,,BCCH,,
11/7/2019,,TH,White/Alum,RFID Blue,01103F8398,1570-79039,,16.4,26.9,62,10.3,,BCCH,,
11/7/2019,,TH,RFID Black,Yellow/Alum,011016D57F,1570-79035,,17.2,26.3,64,10.1,,BCCH,,
11/7/2019,,TH,RFID Blue,Black/Alum,011016D6E7,1570-79037,,17.9,26.6,66,11.5,,BCCH,,
11/7/2019,,TH,Green/Alum,RFID Purple,011016D9CE,1570-79040,,17.1,25.9,66,10.7,,BCCH,,
11/7/2019,,TH,RFID Red,Black/Alum,011016CF32,1570-79036,,16.3,27,67,10.8,,BCCH,,
11/7/2019,,TH,White/Alum,RFID Yellow,011016CA3F,1570-79041,,16.8,27.3,68,10.8,,BCCH,,
11/7/2019,,TH,RFID Purple,Black/Alum,01103F8806,1570-79038,,17.9,26.8,69,11.4,,BCCH,,
11/21/2019,,TH,RFID White,Black/Alum,01101750D1,1570-79043,,17.6,26,63,10.9,,BCCH,,
11/21/2019,,TH,Red/Alum,RFID Black,011016C016,1570-79045,,15.9,26,64,10.4,,BCCH,,
11/21/2019,,TH,RFID Yellow,Black/Alum,011016A3AD,1570-79042,,17.1,26.9,66,11.3,,BCCH,,
11/21/2019,,TH,RFID Blue,Yellow/Alum,01103F52DE,1570-79044,,17,27.9,68,11.4,,BCCH,,
11/21/2019,,TH,RFID Purple,Red/Alum,01103F7D73,1570-79046,,18.9,27.8,69,12.2,,BCCH,,